epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1109.43,0.58945,2.56641,1.13322,0.27824,0.39987,0.29053,0.14172,1.40373,3.35457,2.24011,0.00025552,0.00025552,0.00025552
2,2282.11,0.51146,1.72305,1.06246,0.42419,0.35838,0.3394,0.16771,1.65824,3.34877,2.31505,0.000505519,0.000505519,0.000505519
